id.exposure	id.outcome	outcome	exposure	pt	outliers_removed	n_outliers	RSSobs	pval
qdewRj	F2bWTK	Yengo2018bmi	Deming2017tau	5e-6	TRUE	1	15.908752922267903	0.045
HpFHLp	ZnD5Bz	Xue2018diab	Deming2017tau	5e-6	TRUE	2	17.54092692281027	0.028
UEYoyi	DMbnYs	Niarchou2020meat	Deming2017tau	5e-6	TRUE	0	NA	NA
0wUZb6	fMyxoX	Niarchou2020fish	Deming2017tau	5e-6	TRUE	0	NA	NA
LWf457	UFMOxx	Willer2013hdl	Deming2017tau	5e-6	TRUE	0	NA	NA
9TroDR	dFa7NG	Willer2013ldl	Deming2017tau	5e-6	TRUE	0	NA	NA
crjsPo	FZsxZV	Willer2013tc	Deming2017tau	5e-6	TRUE	0	NA	NA
1xe5vc	N8Y7js	Willer2013tg	Deming2017tau	5e-6	TRUE	0	NA	NA
gmpPfR	XwQ8zp	Dashti2019slepdur	Deming2017tau	5e-6	TRUE	1	12.828052967324826	0.107
xYcjFM	M3guNB	Klimentidis2018mvpa	Deming2017tau	5e-6	TRUE	0	NA	NA
XFTOYf	euzbz5	Day2018sociso	Deming2017tau	5e-6	TRUE	0	NA	NA
nmo4Qw	qANQa6	Wells2019hdiff	Deming2017tau	5e-6	TRUE	1	2.578087921765001	0.886
PWEqB4	4V7IQW	Evangelou2018dbp	Deming2017tau	5e-6	TRUE	0	NA	NA
wWgl4L	Q3lkfo	Evangelou2018sbp	Deming2017tau	5e-6	TRUE	0	NA	NA
aqGZcH	cfVGaC	Evangelou2018pp	Deming2017tau	5e-6	TRUE	0	NA	NA
clXPXt	wLjPtg	Lee2018education23andMe	Deming2017tau	5e-6	TRUE	1	14.81640182405571	0.073
tbs4Xk	ogARR5	SanchezRoige2019auditt23andMe	Deming2017tau	5e-6	TRUE	0	NA	NA
ykmJ7T	KqWSZM	Howard2019dep23andMe	Deming2017tau	5e-6	TRUE	0	NA	NA
bDB6fC	JJRCS5	Jansen2018insomnia23andMe	Deming2017tau	5e-6	TRUE	0	NA	NA
Igg7MS	MjLtNe	Liu2019smkint23andMe	Deming2017tau	5e-6	TRUE	0	NA	NA
XWsz5k	4cPgra	Liu2019smkcpd23andMe	Deming2017tau	5e-6	TRUE	0	NA	NA
k1hZOx	chJliK	Liu2019drnkwk23andMe	Deming2017tau	5e-6	TRUE	1	6.382428205774673	0.489
jskv2Q	kAliur	Yengo2018bmi	Hilbar2017hipv	5e-8	TRUE	2	NA	NA
NWdTS9	3nz6lf	Yengo2018bmi	Hilbar2017hipv	5e-6	TRUE	3	28.79019246139764	0.025
J5CNfY	3TdTiG	Xue2018diab	Hilbar2017hipv	5e-8	TRUE	2	NA	NA
O5qwjE	fALyOL	Xue2018diab	Hilbar2017hipv	5e-6	TRUE	0	NA	NA
JnNN8O	6Kwokf	Niarchou2020meat	Hilbar2017hipv	5e-8	TRUE	0	NA	NA
BOPHKY	QjpYmW	Niarchou2020meat	Hilbar2017hipv	5e-6	TRUE	0	NA	NA
htBF7p	1eGE73	Niarchou2020fish	Hilbar2017hipv	5e-8	TRUE	0	NA	NA
DoF9gj	EzLuh3	Niarchou2020fish	Hilbar2017hipv	5e-6	TRUE	0	NA	NA
R1rART	Mi3YYp	Willer2013hdl	Hilbar2017hipv	5e-8	TRUE	0	NA	NA
gAA4l5	4yGYBo	Willer2013hdl	Hilbar2017hipv	5e-6	TRUE	0	NA	NA
bUZ2cF	52oTKX	Willer2013ldl	Hilbar2017hipv	5e-8	TRUE	0	NA	NA
ueCYrY	i3O6zm	Willer2013ldl	Hilbar2017hipv	5e-6	TRUE	1	19.49699540893989	0.283
V7kZ8S	KgpC3C	Willer2013tc	Hilbar2017hipv	5e-8	TRUE	0	NA	NA
zwVwhR	L0xVRv	Willer2013tc	Hilbar2017hipv	5e-6	TRUE	2	19.873177533296197	0.192
gMEoL4	q2pNEY	Willer2013tg	Hilbar2017hipv	5e-8	TRUE	0	NA	NA
BWdorl	J2FLTB	Willer2013tg	Hilbar2017hipv	5e-6	TRUE	0	NA	NA
d69PXG	kQODH5	Dashti2019slepdur	Hilbar2017hipv	5e-8	TRUE	1	7.271000961705873	0.345
c9ERLY	zFZa4A	Dashti2019slepdur	Hilbar2017hipv	5e-6	TRUE	1	30.982363384317328	0.132
Xb3EUr	XQTxFv	Klimentidis2018mvpa	Hilbar2017hipv	5e-8	TRUE	1	5.451783316549932	0.467
vnlDgt	arc7Vk	Klimentidis2018mvpa	Hilbar2017hipv	5e-6	TRUE	3	12.04086995217456	0.934
MDVAHK	U0o1wx	Day2018sociso	Hilbar2017hipv	5e-8	TRUE	0	NA	NA
Ba0hdh	p5EDpV	Day2018sociso	Hilbar2017hipv	5e-6	TRUE	0	NA	NA
8VvlAk	JNjiF5	Wells2019hdiff	Hilbar2017hipv	5e-8	TRUE	0	NA	NA
EZQsyv	pCpf7h	Wells2019hdiff	Hilbar2017hipv	5e-6	TRUE	0	NA	NA
GgAuL8	2jFArD	Evangelou2018dbp	Hilbar2017hipv	5e-8	TRUE	0	NA	NA
kvmub7	pjdv7H	Evangelou2018dbp	Hilbar2017hipv	5e-6	TRUE	3	14.84712692605994	0.678
WIxovp	vFUGG7	Evangelou2018sbp	Hilbar2017hipv	5e-8	TRUE	0	NA	NA
CI1AIJ	Te6mEv	Evangelou2018sbp	Hilbar2017hipv	5e-6	TRUE	1	15.53425834242259	0.767
WatZhp	eVyEa2	Evangelou2018pp	Hilbar2017hipv	5e-8	TRUE	0	NA	NA
EZiFDn	OlZghu	Evangelou2018pp	Hilbar2017hipv	5e-6	TRUE	1	26.118542950828683	0.208
pjNh9L	dYgN5z	Lee2018education23andMe	Hilbar2017hipv	5e-8	TRUE	1	8.374914167646216	0.243
la3n31	sx6oIX	Lee2018education23andMe	Hilbar2017hipv	5e-6	TRUE	3	34.526511692580364	0.048
tQXd8i	aEKHNf	SanchezRoige2019auditt23andMe	Hilbar2017hipv	5e-8	TRUE	0	NA	NA
SWaYJb	3veenZ	SanchezRoige2019auditt23andMe	Hilbar2017hipv	5e-6	TRUE	0	NA	NA
lOJZrN	MQY7iY	Howard2019dep23andMe	Hilbar2017hipv	5e-8	TRUE	0	NA	NA
Vb4uR6	BwXLJj	Howard2019dep23andMe	Hilbar2017hipv	5e-6	TRUE	0	NA	NA
IGQys0	kTEanp	Jansen2018insomnia23andMe	Hilbar2017hipv	5e-8	TRUE	0	NA	NA
yuOOZa	9aaF5Y	Jansen2018insomnia23andMe	Hilbar2017hipv	5e-6	TRUE	0	NA	NA
IbbCRh	fm7M9a	Liu2019smkint23andMe	Hilbar2017hipv	5e-8	TRUE	1	0.8934813338149727	0.919
lkAmEe	LJtJ1s	Liu2019smkint23andMe	Hilbar2017hipv	5e-6	TRUE	2	26.229120525480997	0.319
mxt1AL	osMmiA	Liu2019smkcpd23andMe	Hilbar2017hipv	5e-8	TRUE	0	NA	NA
ZmNq4q	jrLufd	Liu2019smkcpd23andMe	Hilbar2017hipv	5e-6	TRUE	0	NA	NA
mGgAQ7	2bH62n	Lee2018education23andMe	Hilbar2015hipv	5e-6	TRUE	1	24.830396394374525	0.018
WpuGGl	VNm4xm	SanchezRoige2019auditt23andMe	Hilbar2015hipv	5e-6	TRUE	0	NA	NA
bIP5oS	7qtJvR	Liu2019drnkwk23andMe	Hilbar2015hipv	5e-6	TRUE	2	13.914604129767824	0.228
rZzg66	yIzh6u	Yengo2018bmi	Grasby2020thickness	5e-8	TRUE	2	18.093797851835106	0.014
2Vs6D2	F19Fnr	Yengo2018bmi	Grasby2020thickness	5e-6	TRUE	3	72.49418599125636	<0.001
uUgpgu	siFZSE	Xue2018diab	Grasby2020thickness	5e-8	TRUE	1	10.651481365397618	0.161
WQ2R5j	WxOgH9	Xue2018diab	Grasby2020thickness	5e-6	TRUE	0	NA	NA
9EbiDZ	dV52o4	Niarchou2020meat	Grasby2020thickness	5e-8	TRUE	0	NA	NA
ICFKFO	mGzjsa	Niarchou2020meat	Grasby2020thickness	5e-6	TRUE	0	NA	NA
D0blRX	srO6MS	Niarchou2020fish	Grasby2020thickness	5e-8	TRUE	1	15.31724056410483	0.065
STaUCB	IG4Rkf	Niarchou2020fish	Grasby2020thickness	5e-6	TRUE	3	59.406626696540066	0.0076
gJ6reJ	Yiem1k	Willer2013hdl	Grasby2020thickness	5e-8	TRUE	0	NA	NA
t7uv8N	KjrdQA	Willer2013hdl	Grasby2020thickness	5e-6	TRUE	0	NA	NA
AsVvLX	kfWOQJ	Willer2013ldl	Grasby2020thickness	5e-8	TRUE	0	NA	NA
O4Ly7P	mS3xJ8	Willer2013ldl	Grasby2020thickness	5e-6	TRUE	1	46.93205466783887	0.024
AvAc97	Q8v7nI	Willer2013tc	Grasby2020thickness	5e-8	TRUE	0	NA	NA
4eYLpv	afMIzu	Willer2013tc	Grasby2020thickness	5e-6	TRUE	3	38.90916256928599	0.083
1CeZGW	SRYNxk	Willer2013tg	Grasby2020thickness	5e-8	TRUE	0	NA	NA
am1w3a	38u455	Willer2013tg	Grasby2020thickness	5e-6	TRUE	1	63.80096867493349	0.001
9hd39a	8S01YZ	Dashti2019slepdur	Grasby2020thickness	5e-8	TRUE	0	NA	NA
dP6SGF	3puaIW	Dashti2019slepdur	Grasby2020thickness	5e-6	TRUE	1	79.96671631705776	<2e-04
bksCrN	sURxJm	Klimentidis2018mvpa	Grasby2020thickness	5e-8	TRUE	1	1.8769920861080884	0.891
WcwyiN	v4YNdN	Klimentidis2018mvpa	Grasby2020thickness	5e-6	TRUE	1	48.195734252056546	0.1288
2DgZIC	nV3pgs	Day2018sociso	Grasby2020thickness	5e-8	TRUE	2	17.188482348280633	0.034
r4kjbS	WdotXP	Day2018sociso	Grasby2020thickness	5e-6	TRUE	2	87.09674539979939	<2e-04
FsELJd	Fpifc0	Wells2019hdiff	Grasby2020thickness	5e-8	TRUE	2	6.307983070910013	0.326
YnT0eQ	hAr70B	Wells2019hdiff	Grasby2020thickness	5e-6	TRUE	3	50.96442712902382	0.0588
sVnVWw	O7vDjK	Evangelou2018dbp	Grasby2020thickness	5e-8	TRUE	3	NA	NA
ho2PBn	TKAfIP	Evangelou2018dbp	Grasby2020thickness	5e-6	TRUE	1	86.45904948598572	<2e-04
MoPHCH	oHEPWC	Evangelou2018sbp	Grasby2020thickness	5e-8	TRUE	1	19.091425449333826	0.02
JJRSeN	DPNW3Y	Evangelou2018sbp	Grasby2020thickness	5e-6	TRUE	4	61.79968862829172	0.0016
IqiErx	Dl6oQ9	Evangelou2018pp	Grasby2020thickness	5e-8	TRUE	2	3.746813228354722	0.561
2OeVIy	3XgKDh	Evangelou2018pp	Grasby2020thickness	5e-6	TRUE	5	58.1386046245449	0.0068
EVm0GE	kYQUXF	Lee2018education23andMe	Grasby2020thickness	5e-8	TRUE	3	NA	NA
q8XuTN	wRVNwJ	Lee2018education23andMe	Grasby2020thickness	5e-6	TRUE	8	49.57627070963362	0.004
4zANdD	C5KNzM	SanchezRoige2019auditt23andMe	Grasby2020thickness	5e-8	TRUE	0	NA	NA
